feature,importance,std
TransactionDT,5220.4,118.36992861364747
card1,4762.6,84.7929242330986
card2,4452.4,77.64560515573307
addr1,4081.7,109.60387766862995
TransactionAmt,3892.7,60.02674403963619
D15,2061.7,37.26137410241335
P_emaildomain,1889.0,40.22685670046816
dist1,1864.4,67.70110781959185
card5,1800.7,29.869884499274516
D4,1621.5,35.861539286539276
C13,1600.4,28.54540243191537
D2,1537.1,43.67940017903176
D10,1492.6,41.680211131902865
id_20,1320.6,32.83656498478487
id_02,1266.2,34.254342790367474
DeviceInfo,1191.5,45.98967275378245
D11,1168.8,28.36476687723698
C1,1158.8,36.660060010861955
D1,1141.1,20.796393918177255
id_19,1129.0,22.834184898962345
D8,1101.9,35.62428946659848
id_31,995.9,46.18971747045006
C2,897.9,33.619785841078766
C14,785.2,23.064258063072394
dist2,779.2,48.96284305470833
C11,763.0,21.79449471770337
C6,755.9,35.07549001795984
D5,725.8,28.725598340156466
D3,702.6,32.77254948886339
R_emaildomain,658.7,19.504102132628407
V313,654.3,31.670333121077206
C9,624.7,16.929559947027567
id_13,624.3,26.630996977206845
id_06,622.4,26.88568392286125
D9,592.8,21.456001491424256
id_05,586.2,27.24628415032039
id_33,584.8,16.563815985454557
M5,581.6,19.815145722401336
V307,543.6,28.765256821380895
M4,495.5,27.004629232781554
V310,494.6,28.132543432828818
card4,482.9,18.18488383245821
id_01,482.8,32.47706883325526
M6,464.2,17.30780170905595
id_30,459.9,22.34479805234319
D14,454.4,18.932511719262184
V315,404.6,23.130931671681537
C5,386.0,15.349267083479914
card6,380.4,13.335666462535722
V314,370.8,18.872201779336716
card3,338.9,12.453513560437472
V130,328.0,15.569200364822851
D6,309.5,11.508692367076288
id_14,307.9,20.007248686413632
C8,303.1,11.273420066687837
V87,289.8,12.33531515608742
V83,282.0,13.527749258468683
C10,279.7,17.088300090997933
V82,267.7,10.237675517420936
V62,264.1,13.262352732452866
D12,260.8,20.370567002417975
V312,260.1,25.085653270345585
C12,258.3,14.19189909772473
V308,256.4,15.114231703927262
V127,254.1,10.624970588194586
id_18,253.3,15.020319570501822
V317,249.4,22.90065501246635
V45,248.4,13.857849761056006
D13,247.8,12.820296408429876
V53,245.1,17.014405661086137
V38,237.7,10.954907576059233
V76,233.9,13.072490198887127
V75,233.7,11.428473213863695
V54,233.2,16.827358675680507
V61,231.2,11.677328461596
V78,223.9,12.152777460317456
V320,215.1,16.753805537847214
V20,214.4,8.856635930193812
V35,202.7,13.528118864054973
V36,193.7,10.798611021793498
V13,192.4,12.06813987323647
V44,189.8,14.6
V12,189.6,17.436742815101677
V309,189.1,11.674330815939731
V283,187.8,15.184202316881846
V131,187.7,11.567627241573788
ProductCD,181.2,9.10823802938856
V5,171.3,16.431981012647256
V86,170.2,14.133647795243801
V281,167.7,11.428473213863697
V306,167.6,10.33634364753804
V285,165.3,15.57594298910984
V129,164.7,17.47598352024858
V311,161.7,7.389857914736928
V264,160.0,8.366600265340756
M7,156.1,14.929500996349477
V77,156.0,9.327379053088816
V19,155.5,12.05197079319395
V291,152.7,13.327040181525678
V282,152.2,11.96494880891682
V37,147.2,7.096477999684069
V136,146.8,12.52038338071163
V128,143.7,15.336557632011166
V56,143.6,11.551623262554921
M3,141.0,12.24744871391589
V67,139.7,10.159232254457025
id_17,137.4,9.759098319004682
D7,136.6,10.268398122394748
M8,136.5,19.936148073286375
id_03,134.3,13.06177629574171
V165,132.0,10.295630140987
V48,131.1,12.613088440187836
M9,129.3,9.849365461794989
V55,129.0,9.433981132056603
V133,127.0,13.130118049735882
V294,125.3,17.65247857950832
V4,124.2,9.957911427603683
C4,123.4,6.8585712797928995
V126,121.8,17.44591642763429
V261,119.5,12.23315167894194
V267,117.8,11.160645142642965
V24,117.8,11.106754701531855
id_09,115.4,9.035485598461214
V277,114.5,8.511756575466665
V316,108.4,11.92644121270046
V23,106.0,7.496665925596525
V318,105.3,9.402659198333204
V203,105.2,11.796609682446903
V10,104.9,7.408778576796583
V90,103.4,14.901006677402705
V221,99.6,6.666333324999584
V49,99.0,11.126544836560898
V266,96.8,11.59137610467368
V66,94.3,9.3706990134141
V69,93.8,11.22319027727856
id_11,93.7,8.74128137060008
V99,93.3,5.568662316930341
M2,89.9,10.624970588194586
V139,88.6,8.765842800324451
V96,88.3,6.017474553332153
V91,87.6,8.248636250920512
V321,87.0,12.553883861180172
V160,85.8,10.17644338656684
V70,85.2,10.897706180660222
V47,84.9,4.699999999999999
V29,84.6,6.8585712797928995
V124,84.1,12.128066622508305
V135,83.2,7.318469785412795
V271,82.6,4.294182110716777
V265,82.2,7.66550715869472
V132,82.0,7.576278769950324
V187,81.0,8.209750300709517
V296,80.4,11.31547612785251
V274,80.0,9.848857801796104
V11,77.9,7.8797208072367635
V268,77.7,6.542935121182236
V319,77.4,11.056219968868202
V208,75.7,8.69540108333135
V270,75.7,7.294518489934753
V207,73.4,8.077128202523468
V26,73.2,8.692525524840292
V81,72.7,6.000833275471
id_07,72.0,9.549869109050658
V39,71.9,8.34805366537614
V30,71.6,9.2
V74,71.3,8.579627031520658
C7,70.2,5.775811631277461
V52,70.1,6.090155991434045
V263,69.9,9.606768447297979
V3,68.7,7.950471684120383
V259,68.7,6.928924880528004
V289,68.6,7.735631842325487
V7,68.5,8.357631243360764
V25,67.6,5.1613951602255765
V6,67.1,4.968903299521937
V220,65.4,5.76541412215983
id_38,64.8,9.314504817756015
DeviceType,64.7,10.266937225872184
V40,64.4,9.178235124467012
V234,64.3,9.960421677820673
V222,63.0,6.148170459575759
id_08,62.9,7.905061669588669
V300,61.9,7.3
V209,60.7,8.087644898238299
V159,60.3,9.209234495874236
V51,60.1,5.557877292636101
V278,60.0,9.359487165438072
V164,59.6,9.728309205612247
V215,59.4,7.552483035399683
V166,59.2,6.446704584514479
V150,57.8,12.496399481450648
V137,57.7,4.754997371187496
V94,56.9,4.504442251822083
V262,55.3,7.349149610669251
C3,55.1,4.369210454990695
V149,55.1,9.12633551870629
V273,54.9,8.030566605165541
V292,53.8,7.520638270785266
V79,53.5,7.5
V206,53.2,7.984985911070851
V156,53.1,7.161703707917551
V301,52.9,6.977822009767804
V134,52.8,7.152621896899067
V43,52.8,8.158431221748454
V288,52.7,6.450581369148055
V229,52.7,7.014983962918233
V280,52.6,6.575712889109438
V204,52.1,8.7
V152,51.4,7.269112738154499
V202,51.1,4.570557952810575
addr2,50.9,7.408778576796583
V169,50.3,5.0803543183522155
V214,50.1,8.312039460926542
V258,50.1,7.063285354564121
V276,49.0,5.495452665613635
V243,49.0,2.8635642126552705
V212,48.6,8.175573374387879
V33,48.1,9.65867485734974
V260,47.4,6.606057825965498
V102,47.0,10.853570840972107
V143,46.5,7.1449282711585
V332,46.3,6.914477565225011
V64,46.1,7.725930364687478
V85,45.6,6.437390775772433
V245,45.4,5.7306195127577615
V140,45.1,4.988987873306568
V218,44.4,6.843975452907469
id_26,44.1,8.560957890329798
V2,43.6,5.868560300448483
V279,43.5,10.509519494249012
V257,43.4,5.936328831862332
V275,43.2,5.055689863905815
V272,42.5,4.883646178829912
V73,42.4,8.260750571225353
id_15,41.9,3.7269290307168452
V34,40.2,7.756287771866127
V210,40.1,5.467174773134658
V59,39.9,7.475961476626267
V171,39.8,6.337191807101944
V216,39.1,6.487680633323438
V42,39.1,4.504442251822083
id_21,39.1,7.738862965578341
V211,38.8,5.861740355901138
V60,38.5,5.084289527554465
V145,38.4,8.674099376880577
id_04,38.4,4.715930449020639
V170,38.1,3.3
V205,37.1,7.395268757793729
V189,37.1,7.449161026585477
V58,36.7,3.4655446902326914
V80,36.3,6.4195015382816125
V8,35.2,6.128621378417825
id_32,35.0,5.196152422706632
id_25,34.7,4.450842616853578
V256,34.4,4.586937976471886
V224,33.9,5.223983154643591
V323,32.3,5.604462507680822
id_37,31.1,9.9443451267542
V251,30.3,5.459853477887479
V200,30.3,6.293647591023825
V115,30.3,3.5510561809129406
V46,30.3,5.21632054229799
V293,30.2,4.686149805543993
V290,29.7,3.6891733491393435
V213,29.6,5.043808085167397
V232,29.3,6.9
V303,29.1,6.171709649683789
V335,29.0,4.0743097574926725
id_34,28.7,6.841783393238929
V9,28.5,5.835237784358063
