feature,importance,std
TransactionDT,5634.5,54.62645879058975
card1,5481.4,106.99831774378511
card2,4922.5,51.16492939504558
TransactionAmt,4120.1,43.87356835271095
addr1,3892.3,63.52172856590097
D15,2144.4,66.39005949688553
card5,2097.5,51.05340341250522
dist1,1839.3,36.52957705750232
D4,1669.8,46.21428350629272
C13,1668.2,31.54298654217764
id_02,1605.3,36.83761664386012
id_20,1570.8,39.473535438316134
D10,1509.9,44.14396901050018
D2,1460.3,31.19951922706502
D8,1366.7,42.965218491240094
id_19,1336.1,59.305058806142334
D1,1269.0,46.62831757633981
C1,1131.8,32.70107031887488
D11,1118.6,39.4187772514572
C2,934.3,25.262818528422358
dist2,843.8,27.96354770053328
C14,796.2,27.874002224294955
C11,783.6,25.714587299818756
C6,781.9,23.876557540818148
id_13,764.0,17.994443586840912
D3,745.9,23.014995111883035
id_06,745.3,42.72715764007711
D9,742.3,32.12802514939255
id_33,727.7,12.86895489152091
id_05,714.8,24.30555492063491
V313,714.3,30.225982200749076
D5,692.6,19.68349562450735
M4,629.4,18.730723424363514
C9,607.1,21.64924940962157
M5,577.0,13.689411966918083
id_01,571.0,30.41052449399714
V307,534.7,10.761505470890212
D14,520.8,31.18589424723941
V310,518.9,29.67642161716941
M6,516.1,20.964016790682074
V315,444.6,28.146758250285234
C5,386.8,16.28987415543779
V314,361.1,21.144502831705456
card3,359.1,11.335342959081563
C8,342.8,23.61694307060082
id_18,327.7,19.03181546778972
V130,321.1,30.388978265153963
id_14,319.0,13.957077057894322
C10,313.6,18.385864135253474
D6,308.7,14.980320423809363
V87,305.4,14.1718029904455
D13,302.0,11.489125293076057
D12,292.3,22.176789668479973
V127,286.7,10.991360243391169
V83,282.5,11.164676439557038
V82,272.4,10.081666528902847
V38,267.9,11.326517558367179
V312,264.8,15.753094934012173
V62,259.6,14.437451298619157
V308,258.2,18.87220177933672
V76,250.2,16.314410807626487
C12,250.1,13.018832512940628
V45,245.3,12.930970574554719
V53,244.9,9.7
V317,243.4,10.57544325312183
V75,231.8,7.846018098373212
V320,224.7,16.679628293220446
V78,224.3,9.675226095549396
V54,218.8,15.803797012110728
M3,216.8,18.824452183264192
M9,216.1,13.262352732452866
M8,214.0,21.808255317654368
V61,213.9,15.469001260585637
V44,208.9,10.16316879718132
V36,208.5,21.964744478368054
V309,202.0,17.527121840165314
V35,197.9,10.222035022440492
V20,191.6,19.053608582103287
V13,189.6,17.2580416038437
V283,189.5,9.189668111526117
V131,189.5,16.35389861776084
V264,181.7,16.186722954322782
V306,177.8,9.463614531456782
V77,176.9,15.22136656151477
V281,175.7,15.40162329106903
V5,174.7,12.100000000000001
V86,172.8,12.424169992397884
V285,168.4,9.13454979733539
V12,167.8,17.226723426119083
V311,166.0,11.28716084761797
V37,163.1,9.954396013822235
M7,162.8,20.188115315699978
V282,161.2,7.426977851050857
V129,161.1,11.852847759083048
V19,158.6,13.215142829345433
V56,157.0,11.018166816671457
id_17,154.7,10.863240768757729
V291,153.7,8.36719785830358
C4,151.4,12.63487237766967
D7,150.5,11.200446419674531
id_03,149.5,12.847178678604887
V136,147.0,13.3566462856512
V133,144.1,14.26499211356249
V267,141.2,8.795453370918407
V294,141.0,11.916375287812984
V165,137.5,10.716809226630843
ProductCD,137.3,4.733920151417849
V67,134.6,10.901376059929316
V203,133.4,10.316976301223145
V126,133.2,13.35514881983724
M2,132.8,10.897706180660222
V48,130.4,5.314132102234569
V4,129.5,12.737739202856996
id_09,129.0,8.752142594816426
V128,128.2,9.765244492586962
V55,127.3,5.1000000000000005
V24,126.5,10.865081684000355
V221,117.7,10.469479452198184
V266,115.9,12.348684140425652
V277,113.9,8.239538822045807
V318,113.5,13.26838347350573
V261,111.1,11.9870763741623
V23,109.4,13.850631754544628
V316,109.1,13.003461077728497
V139,108.8,10.647065323364933
id_11,106.2,13.006152390311287
V90,104.2,10.017983829094556
V271,103.8,7.291090453423274
V270,103.2,10.037928073063684
id_38,102.3,9.560857702110203
V99,102.0,8.160882305241266
V208,99.4,9.38296328459192
V160,99.3,8.80965379569481
V207,96.8,8.692525524840292
V263,96.1,7.569015788066505
V91,96.0,6.131883886702357
V49,95.7,6.4039050586341455
id_32,94.2,8.034923770640265
V10,93.6,6.483826030978931
V66,93.5,6.576473218982953
V132,91.6,10.121264743103996
id_15,91.4,12.619033243477885
V321,91.4,8.114185110040317
V274,89.9,13.456968455042167
V265,89.8,5.3999999999999995
V29,87.7,7.82368199762746
V296,87.6,9.676776322722356
V187,87.4,6.931089380465383
V96,87.0,8.330666239863412
V268,86.5,7.406078584514209
V215,86.2,11.643023662262308
C7,84.3,7.8999999999999995
V74,84.0,9.252026804976301
V70,83.5,6.946221994724902
V69,82.8,9.846826900072937
id_37,81.8,8.158431221748454
V47,80.8,12.560254774486067
V319,79.8,9.495261976375375
V135,79.7,12.141251994749142
V234,79.7,3.4655446902326914
V7,79.0,7.3484692283495345
V39,78.6,9.77957054271812
V289,78.4,7.863841300535
id_07,78.2,17.480274597385478
V52,77.8,5.2115256883181535
V81,77.4,8.2
V40,76.8,11.196428001822724
V258,76.6,4.923413450036469
V166,76.5,6.591661399070799
V259,75.8,6.910861017268399
V26,75.3,8.379140767405689
id_08,74.7,9.51892851112981
V43,73.2,10.303397497913005
addr2,73.1,11.449454135459908
V124,72.3,6.372597586541928
V30,72.0,7.293833011524188
V25,71.9,9.038252043398655
V220,71.5,4.295346318982906
V3,70.9,9.491575211733824
V51,70.8,8.588364221433554
V11,68.8,7.691553809211763
V210,68.7,8.258934555982389
V222,68.5,7.102816342831906
V6,67.8,4.445222154178573
V152,67.6,11.208925015361642
V209,67.1,8.104936767180853
V137,66.6,9.981983770774224
V206,66.5,6.859300255857007
V202,65.7,7.836453279386026
V276,65.6,4.294182110716777
V164,64.0,5.176871642217914
V292,63.4,5.624944444170094
V278,63.0,3.687817782917155
V149,62.5,8.628441342444185
V300,62.0,9.476286192385707
id_34,62.0,10.871982339941507
V262,61.7,9.685556256612212
V218,60.0,9.143303560529969
V273,58.9,7.475961476626267
V260,58.5,6.697014260101288
V150,57.6,13.305637902783918
V204,57.4,9.243376006633074
V169,56.9,7.006425622241343
V216,56.5,5.554277630799526
V212,56.4,6.053098380168622
V229,56.3,7.280796659706959
V79,56.0,5.674504383644443
V143,56.0,6.371812928829597
C3,55.8,5.723635208501674
V159,55.4,9.393614852653904
V145,55.4,3.261901286060018
V245,55.4,7.578918128598567
V94,55.2,10.409610943738484
V280,53.0,10.554619841567009
V134,52.1,8.971621926942754
V243,52.0,5.674504383644443
id_04,51.3,4.539823785126467
V140,50.4,5.919459434779497
V288,50.1,8.619164692706597
V171,49.9,6.0074953183502355
V85,49.7,7.655716818169282
V64,49.5,6.989277502002621
V205,49.4,9.308061022576078
V73,49.2,8.14616474176652
V272,48.8,8.255906976220118
V214,48.6,5.517245689653488
V332,48.4,8.845337754998393
V301,48.0,6.603029607687671
V102,48.0,7.321202087089251
V34,47.8,10.637668917577761
id_26,47.6,7.512655988397179
V224,47.4,6.916646586316233
V42,47.4,5.161395160225576
V156,46.8,7.138627319029899
V170,46.2,9.239047569960878
V200,46.0,4.857983120596447
V257,45.6,6.359245238233858
V33,44.3,6.181423784210236
V2,43.3,7.937883848986453
V211,43.1,5.8898217290508885
V60,42.8,5.2497618993626745
id_21,42.5,7.351870510285121
id_36,42.5,4.883646178829912
V275,42.2,6.64529909033446
V8,41.5,5.371219600798314
V279,40.6,9.024411338142782
V59,39.4,7.4592224795886075
V80,39.2,5.491812087098393
V46,39.2,7.833262411026456
V58,38.3,4.337049688440288
V189,38.0,6.465291950097845
V323,36.8,4.643274706497559
id_25,36.7,8.602906485601247
V293,36.6,4.82078831727758
V201,35.6,3.6660605559646724
V213,34.6,7.102112361825882
V251,34.3,6.870953354520753
V232,33.8,6.446704584514478
V335,33.1,5.204805471869242
V298,31.6,6.740919818541086
V290,31.3,3.318132004607411
V109,30.9,5.448853090330111
V188,30.6,5.851495535331118
V9,30.4,6.843975452907469
V253,30.1,6.187891401761993
V219,30.0,4.669047011971501
V256,30.0,3.9496835316262997
V57,29.4,7.709734106958553
V162,28.9,3.047950130825634
V338,28.6,3.583294573433783
V244,28.5,4.801041553663121
V287,28.2,5.30659966456864
V151,28.1,6.876772498781678
V303,27.9,5.048762224545736
V176,27.9,4.548626166217664
V63,27.9,5.957348403442592
V105,26.8,5.473572873361603
id_10,26.4,5.6956123463592565
V333,25.8,4.069397989875161
V248,25.7,5.883026432033091
V246,25.6,4.963869458396343
V147,24.5,4.341658669218482
V161,24.4,4.17612260356422
V123,24.2,2.749545416973504
V326,24.2,4.331281565541543
V230,24.0,3.9496835316262997
V228,24.0,5.458937625582473
V95,23.9,7.502666192761078
V178,23.8,5.035871324805669
V295,23.4,5.817215828899595
V227,23.4,5.817215828899594
V115,22.7,3.348133808556641
V336,22.4,6.483826030978931
V184,21.9,5.204805471869242
V97,21.8,5.653317610041028
V158,21.3,3.716180835212409
V217,20.9,4.4821869662029945
V239,20.9,5.430469592954186
V17,20.6,4.565084884205331
V146,20.0,3.794733192202055
V331,19.9,4.060788100849391
V180,19.9,5.4671747731346585
V199,19.6,4.476605857119879
V144,19.6,4.841487374764082
V84,19.4,5.083306010855534
V125,19.3,2.3685438564654024
V101,19.2,3.4871191548325386
V242,19.0,2.1908902300206643
V286,18.8,3.0919249667480613
V238,18.7,3.63455636907725
id_24,17.8,2.7856776554368237
V100,17.7,4.775981574503821
V226,17.6,4.317406628984581
V339,17.2,4.812483766206387
V72,16.7,4.670117771534247
V168,16.2,3.3704599092705436
V233,16.2,4.8538644398046396
V231,15.5,3.6674241641784495
V190,15.3,3.7429934544425802
V249,15.2,3.249615361854384
V108,15.1,2.6248809496813377
V324,14.8,2.85657137141714
V225,14.5,3.442382895611701
V163,14.2,3.709447398198282
V197,14.0,5.403702434442518
V304,13.8,2.7129319932501077
V329,13.8,2.749545416973504
V15,13.6,3.7202150475476548
V337,13.6,3.3823069050575527
V93,13.6,4.454211490264018
V92,13.4,2.6532998322843198
V250,13.2,3.5156791662493894
V112,13.2,3.8935844667863573
V186,13.0,2.8635642126552705
V223,12.8,2.2715633383201093
id_28,12.5,1.6881943016134133
V154,12.3,5.1778373863998475
id_23,12.0,2.7202941017470885
V50,12.0,2.1908902300206643
V167,11.9,3.419064199455751
V172,11.7,2.570992026436488
V183,11.6,2.8354893757515653
V237,11.4,3.7735924528226414
V254,11.3,4.196427051671457
V299,11.1,2.773084924772409
V18,11.0,3.82099463490856
V236,11.0,2.280350850198276
V182,11.0,2.04939015319192
V247,10.9,2.3
V177,10.8,1.8867962264113207
id_16,10.8,3.9698866482558417
V284,10.4,2.33238075793812
V235,10.2,3.515679166249389
V255,10.0,2.32379000772445
V157,10.0,1.61245154965971
V103,10.0,2.449489742783178
V334,9.7,3.1
V148,9.7,3.163858403911275
V194,9.7,4.02616442783948
V111,9.6,3.4985711369071804
V185,9.2,4.044749683231338
V22,9.2,1.7204650534085253
V297,9.1,2.4269322199023193
V114,8.9,1.972308292331602
V98,8.9,3.014962686336267
V192,8.9,2.662705391138869
V121,8.6,4.24735211631906
V155,8.5,3.556683848755748
V198,8.5,2.1563858652847827
V32,8.3,1.9519221295943134
V179,8.0,3.7682887362833544
V174,7.7,2.7946377224964243
V118,7.4,2.6907248094147422
V330,7.3,2.72213151776324
V302,7.0,3.0659419433511785
V175,6.9,3.6728735344413916
V16,6.9,2.3853720883753127
V181,6.8,2.0396078054371136
V71,6.7,2.1
id_12,6.5,2.1095023109728985
V116,6.2,3.4000000000000004
V31,5.9,1.972308292331602
V21,5.9,3.2388269481403293
V193,5.9,1.8138357147217055
V104,5.6,2.90516780926679
M1,5.3,1.9519221295943137
id_35,5.1,2.8442925306655784
V195,4.8,2.039607805437114
V327,4.7,1.8466185312619388
V252,4.7,2.3685438564654024
