feature,importance,std
seconds_since_signup,248.5,7.864477096412704
age,178.3,11.662332528272378
purchase_value,165.3,9.9
hour_of_the_day,124.1,8.971621926942754
weekday_purchase_pca_24,58.4,6.78527818147495
browser_pca_24,55.2,14.126570709128242
weekday_purchase_pca_49,44.3,7.550496672405068
browser_pca_49,38.6,10.355674772799697
month_purchase_pca_24,33.5,3.0413812651491097
month_purchase_pca_49,33.0,3.63318042491699
IP_country_pca_24,28.4,3.0066592756745814
IP_country_pca_49,24.9,4.504442251822083
sex_pca_24,24.5,6.053924347066125
weekday_purchase_pca_2,21.5,4.153311931459037
IP_country_pca_2,19.7,4.6701177715342475
weekday_purchase_pca_4,19.5,5.678908345800274
IP_country_pca_0,19.5,4.006245124802026
weekday_purchase_pca_0,19.0,4.560701700396552
IP_country_pca_36,17.8,4.044749683231337
IP_country_pca_31,16.9,5.940538696111658
IP_country_pca_38,16.8,3.280243893371345
weekday_purchase_pca_3,16.8,4.237924020083418
IP_country_pca_4,16.8,3.9949968710876362
IP_country_pca_1,16.3,2.325940669922602
IP_country_pca_19,15.9,5.6824290580701495
IP_country_pca_14,15.0,5.422176684690384
IP_country_pca_23,14.8,4.621688003316537
IP_country_pca_7,14.5,3.0740852297878796
month_purchase_pca_0,14.2,2.5612496949731396
IP_country_pca_35,14.0,5.059644256269407
IP_country_pca_28,13.7,5.4230987451825
IP_country_pca_32,13.6,3.6110940170535577
IP_country_pca_42,13.5,4.984977432245807
month_purchase_pca_1,13.5,4.695742752749559
IP_country_pca_20,13.2,3.815756805667783
IP_country_pca_30,13.1,3.6728735344413916
month_purchase_pca_4,13.0,2.8635642126552705
IP_country_pca_41,12.9,2.947880594596735
IP_country_pca_43,12.6,6.406246951218788
IP_country_pca_27,12.5,3.556683848755748
source_pca_24,12.5,4.4777226354476225
IP_country_pca_5,12.5,2.8372521918222215
IP_country_pca_40,12.4,2.2891046284519194
weekday_purchase_pca_1,12.3,2.6851443164195103
IP_country_pca_15,12.1,4.011234224026316
IP_country_pca_26,12.0,3.286335345030997
IP_country_pca_25,12.0,3.286335345030997
IP_country_pca_48,11.9,4.504442251822083
IP_country_pca_12,11.2,3.458323293158117
IP_country_pca_9,11.2,3.2802438933713454
weekday_purchase_pca_5,11.2,3.762977544445356
IP_country_pca_3,11.1,2.7
IP_country_pca_21,10.7,4.196427051671457
IP_country_pca_37,10.7,4.495553358597805
IP_country_pca_46,10.5,3.442382895611701
IP_country_pca_18,10.3,4.026164427839479
IP_country_pca_16,10.3,3.8742741255621036
sex_pca_49,10.3,2.5317977802344322
month_purchase_pca_5,10.2,4.422668877499196
month_purchase_pca_9,10.2,2.85657137141714
weekday_purchase_pca_9,10.1,2.7730849247724096
IP_country_pca_34,10.1,2.1656407827707715
IP_country_pca_39,9.9,2.211334438749598
IP_country_pca_6,9.9,1.8681541692269403
IP_country_pca_11,9.8,3.54400902933387
IP_country_pca_33,9.8,3.2802438933713454
month_purchase_pca_6,9.7,3.6891733491393435
IP_country_pca_45,9.7,3.0016662039607267
IP_country_pca_44,9.6,4.409081537009721
weekday_purchase_pca_10,9.4,2.870540018881465
browser_pca_1,9.2,7.12460525222275
IP_country_pca_29,9.2,3.8418745424597094
month_purchase_pca_7,9.0,3.0983866769659336
IP_country_pca_47,8.8,3.0919249667480613
IP_country_pca_22,8.6,2.009975124224178
IP_country_pca_13,8.5,3.0413812651491097
browser_pca_0,8.4,6.916646586316233
browser_pca_3,8.4,5.2573757712379665
month_purchase_pca_3,8.3,3.7696153649941526
month_purchase_pca_2,8.2,2.785677655436824
source_pca_1,7.8,0.7483314773547882
IP_country_pca_17,7.7,3.0016662039607267
month_purchase_pca_8,7.4,2.3748684174075834
month_purchase_pca_13,7.0,2.6457513110645907
weekday_purchase_pca_6,6.9,2.7367864366808017
month_purchase_pca_18,6.9,2.6627053911388696
weekday_purchase_pca_46,6.8,2.315167380558045
month_purchase_pca_21,6.6,2.65329983228432
month_purchase_pca_10,6.5,3.6124783736376886
month_purchase_pca_30,6.5,2.5787593916455256
IP_country_pca_8,6.5,2.9410882339705484
IP_country_pca_10,6.5,1.5
month_purchase_pca_20,6.0,2.6832815729997477
weekday_purchase_pca_8,5.9,2.2113344387495983
month_purchase_pca_11,5.8,1.6613247725836149
month_purchase_pca_45,5.7,3.257299494980466
month_purchase_pca_36,5.6,2.65329983228432
month_purchase_pca_27,5.1,1.3
browser_pca_4,5.1,3.9862262855989496
weekday_purchase_pca_12,5.0,1.8439088914585775
month_purchase_pca_25,5.0,2.5298221281347035
month_purchase_pca_22,4.9,2.808914381037628
weekday_purchase_pca_27,4.8,2.6758176320519302
month_purchase_pca_34,4.5,1.6278820596099706
source_pca_0,4.5,3.0083217912982647
month_purchase_pca_19,4.4,1.624807680927192
month_purchase_pca_15,4.3,2.0024984394500787
sex_pca_0,4.2,2.039607805437114
weekday_purchase_pca_11,4.1,2.5475478405713994
month_purchase_pca_26,4.1,1.9723082923316022
source_pca_2,4.1,0.3
month_purchase_pca_37,3.8,1.661324772583615
browser_pca_2,3.8,2.993325909419153
month_purchase_pca_12,3.7,0.7810249675906654
weekday_purchase_pca_7,3.6,2.2891046284519194
weekday_purchase_pca_26,3.5,2.4186773244895647
month_purchase_pca_41,3.5,2.3345235059857505
month_purchase_pca_17,3.5,2.1563858652847827
month_purchase_pca_29,3.4,2.009975124224178
month_purchase_pca_31,3.3,2.4919871588754225
month_purchase_pca_40,3.3,1.552417469626002
sex_pca_1,3.3,2.5317977802344322
month_purchase_pca_42,3.2,1.9390719429665317
month_purchase_pca_23,2.9,2.211334438749598
weekday_purchase_pca_14,2.9,1.1357816691600546
browser_pca_5,2.8,3.7629775444453553
browser_pca_31,2.7,2.282542442102666
month_purchase_pca_46,2.7,1.2688577540449522
browser_pca_7,2.7,2.6476404589747453
month_purchase_pca_44,2.7,1.4177446878757827
month_purchase_pca_14,2.7,0.9
month_purchase_pca_16,2.5,1.2041594578792296
month_purchase_pca_32,2.4,1.5620499351813308
weekday_purchase_pca_19,2.3,1.9000000000000001
browser_pca_16,2.3,2.72213151776324
month_purchase_pca_43,2.3,1.1
browser_pca_15,2.3,2.72213151776324
month_purchase_pca_39,2.3,2.4515301344262523
month_purchase_pca_28,2.3,1.5524174696260025
month_purchase_pca_47,2.3,1.6155494421403513
month_purchase_pca_38,2.0,1.4142135623730951
month_purchase_pca_33,1.9,0.9433981132056604
weekday_purchase_pca_17,1.8,1.32664991614216
browser_pca_20,1.7,2.0999999999999996
browser_pca_19,1.6,1.1135528725660044
browser_pca_14,1.6,1.7435595774162693
browser_pca_9,1.6,1.4966629547095767
browser_pca_8,1.5,1.857417562100671
browser_pca_29,1.5,1.3601470508735443
weekday_purchase_pca_47,1.5,1.4317821063276353
source_pca_49,1.4,1.42828568570857
browser_pca_12,1.3,1.268857754044952
browser_pca_28,1.3,1.791647286716892
weekday_purchase_pca_34,1.2,0.9797958971132712
month_purchase_pca_35,1.1,0.9433981132056604
browser_pca_30,1.1,1.2206555615733705
weekday_purchase_pca_15,0.9,0.8306623862918076
weekday_purchase_pca_44,0.9,0.7000000000000001
month_purchase_pca_48,0.9,0.7
browser_pca_18,0.9,0.8306623862918076
browser_pca_6,0.8,0.8717797887081348
browser_pca_26,0.7,0.7810249675906655
weekday_purchase_pca_41,0.7,0.6403124237432849
source_pca_3,0.6,0.6633249580710799
weekday_purchase_pca_20,0.6,0.9165151389911681
browser_pca_44,0.6,0.8
browser_pca_22,0.6,0.8
weekday_purchase_pca_13,0.6,0.66332495807108
weekday_purchase_pca_29,0.5,0.9219544457292888
browser_pca_23,0.5,0.9219544457292888
sex_pca_2,0.5,0.6708203932499369
browser_pca_39,0.5,1.02469507659596
browser_pca_46,0.5,1.2041594578792296
browser_pca_25,0.4,0.8000000000000002
browser_pca_38,0.4,1.2000000000000002
weekday_purchase_pca_21,0.3,0.45825756949558405
weekday_purchase_pca_28,0.3,0.45825756949558405
browser_pca_42,0.3,0.45825756949558405
browser_pca_11,0.3,0.45825756949558405
browser_pca_34,0.2,0.4000000000000001
weekday_purchase_pca_33,0.2,0.4000000000000001
weekday_purchase_pca_16,0.2,0.4000000000000001
browser_pca_33,0.2,0.4000000000000001
browser_pca_45,0.2,0.6000000000000001
weekday_purchase_pca_42,0.2,0.4000000000000001
browser_pca_43,0.2,0.6000000000000001
browser_pca_10,0.1,0.30000000000000004
weekday_purchase_pca_31,0.1,0.30000000000000004
browser_pca_17,0.1,0.30000000000000004
sex_pca_48,0.1,0.30000000000000004
weekday_purchase_pca_22,0.1,0.30000000000000004
weekday_purchase_pca_39,0.1,0.30000000000000004
weekday_purchase_pca_38,0.1,0.30000000000000004
sex_pca_3,0.1,0.30000000000000004
weekday_purchase_pca_36,0.1,0.30000000000000004
source_pca_9,0.1,0.30000000000000004
source_pca_18,0.1,0.30000000000000004
browser_pca_48,0.1,0.30000000000000004
sex_pca_33,0.0,0.0
source_pca_44,0.0,0.0
sex_pca_35,0.0,0.0
source_pca_43,0.0,0.0
source_pca_42,0.0,0.0
source_pca_41,0.0,0.0
sex_pca_36,0.0,0.0
source_pca_40,0.0,0.0
sex_pca_37,0.0,0.0
weekday_purchase_pca_32,0.0,0.0
source_pca_39,0.0,0.0
weekday_purchase_pca_35,0.0,0.0
source_pca_38,0.0,0.0
source_pca_37,0.0,0.0
source_pca_36,0.0,0.0
source_pca_35,0.0,0.0
weekday_purchase_pca_37,0.0,0.0
source_pca_45,0.0,0.0
source_pca_13,0.0,0.0
source_pca_28,0.0,0.0
source_pca_27,0.0,0.0
source_pca_26,0.0,0.0
source_pca_25,0.0,0.0
source_pca_23,0.0,0.0
source_pca_22,0.0,0.0
source_pca_4,0.0,0.0
source_pca_12,0.0,0.0
source_pca_11,0.0,0.0
source_pca_10,0.0,0.0
source_pca_8,0.0,0.0
source_pca_7,0.0,0.0
sex_pca_34,0.0,0.0
source_pca_21,0.0,0.0
browser_pca_13,0.0,0.0
source_pca_34,0.0,0.0
source_pca_33,0.0,0.0
source_pca_32,0.0,0.0
source_pca_31,0.0,0.0
source_pca_30,0.0,0.0
weekday_purchase_pca_18,0.0,0.0
weekday_purchase_pca_30,0.0,0.0
weekday_purchase_pca_25,0.0,0.0
weekday_purchase_pca_23,0.0,0.0
source_pca_48,0.0,0.0
source_pca_47,0.0,0.0
