feature,importance,std
purchase_value,682.1,11.139569111954016
seconds_since_signup,593.0,18.466185312619388
age,434.2,16.436544649043483
hour_of_the_day,347.3,23.622235287965445
weekday_purchase_Monday1,25.1,6.252199612936235
sex_Female0,23.4,8.321057625085889
weekday_purchase_Saturday2,22.3,6.827151675479314
source_Direct1,22.1,3.1128764832546763
IP_country_United_-_States167,21.3,6.261788881781308
weekday_purchase_Tuesday5,20.0,7.536577472566709
month_purchase_August1,18.6,2.727636339397171
month_purchase_May8,15.9,3.986226285598949
browser_Chrome0,15.4,10.678951259369997
IP_country_United_-_Kingdom166,14.6,4.079215610874227
weekday_purchase_Wednesday6,14.5,6.020797289396148
source_Ads0,14.3,4.172529209005013
IP_country_Belgium15,13.3,2.72213151776324
source_SEO2,12.9,3.2388269481403293
sex_Male1,12.7,4.220189569201838
browser_Safari4,12.0,8.752142594816426
month_purchase_April0,11.5,2.4186773244895647
month_purchase_September11,10.7,3.769615364994153
weekday_purchase_Thursday4,10.0,2.32379000772445
month_purchase_July5,10.0,1.1832159566199232
IP_country_Canada31,9.8,5.546169849544819
IP_country_Algeria2,8.9,2.467792535850613
month_purchase_December2,8.9,2.211334438749598
month_purchase_January4,8.7,1.4866068747318506
IP_country_Hong_-_Kong71,8.5,2.0615528128088303
weekday_purchase_Sunday3,7.3,3.0016662039607267
IP_country_Colombia36,7.3,4.450842616853577
IP_country_China35,6.8,3.867815921162743
IP_country_Germany62,6.5,3.0740852297878796
IP_country_New_-_Zealand117,6.4,2.0591260281974
IP_country_Indonesia75,6.2,3.458323293158117
IP_country_Russian_-_Federation136,6.1,2.3430749027719964
IP_country_Denmark46,6.0,3.6606010435446255
browser_IE2,5.8,5.362835071116768
IP_country_Norway121,5.2,3.0919249667480613
IP_country_Chile34,5.1,1.8138357147217055
IP_country_France59,5.1,3.23882694814033
IP_country_Poland130,5.0,2.6076809620810595
month_purchase_June6,4.2,1.4000000000000001
IP_country_Greece65,4.2,2.6381811916545836
IP_country_Netherlands115,3.7,0.9
IP_country_Sweden152,3.7,2.238302928559939
IP_country_Korea_-_Republic_-_of86,3.6,4.386342439892262
IP_country_Spain149,3.5,1.857417562100671
month_purchase_March7,3.4,0.9165151389911681
month_purchase_February3,3.2,1.8330302779823358
IP_country_Japan82,3.2,3.4292856398964497
month_purchase_October10,3.1,1.2206555615733705
IP_country_India74,3.0,1.5491933384829668
IP_country_Unknown168,3.0,1.0954451150103321
IP_country_Romania135,2.9,1.972308292331602
IP_country_Croatia_-_LOCAL_-_Name_-_Hrvatska_-_41,2.8,1.32664991614216
IP_country_Argentina5,2.6,1.42828568570857
IP_country_Italy80,2.5,1.857417562100671
browser_FireFox1,2.5,2.7294688127912363
IP_country_Iran_-_ISLAMIC_-_Republic_-_Of_-_76,2.5,1.6881943016134133
weekday_purchase_Friday0,2.5,1.118033988749895
IP_country_Saudi_-_Arabia140,2.3,0.45825756949558405
month_purchase_November9,2.2,0.39999999999999997
IP_country_Austria8,2.1,1.374772708486752
IP_country_Brazil24,1.8,1.8330302779823362
IP_country_South_-_Africa147,1.6,1.1135528725660044
IP_country_Philippines129,1.6,1.42828568570857
IP_country_Mexico105,1.4,1.1135528725660044
IP_country_Finland58,1.3,1.5524174696260025
IP_country_Kuwait87,1.2,1.16619037896906
IP_country_Latvia90,1.2,1.16619037896906
IP_country_Australia7,1.2,1.3266499161421599
IP_country_Lithuania95,1.0,1.1832159566199232
browser_Opera3,1.0,1.5491933384829668
IP_country_Egypt51,0.8,1.469693845669907
IP_country_Luxembourg96,0.8,0.4
IP_country_Switzerland153,0.7,1.1874342087037917
IP_country_Turkey161,0.6,0.8
IP_country_Malaysia101,0.5,0.6708203932499369
IP_country_Bulgaria27,0.5,0.9219544457292888
IP_country_Paraguay127,0.4,0.4898979485566356
IP_country_Taiwan_-_Republic_-_of_-_China_-_ROC_-_155,0.4,0.66332495807108
IP_country_Morocco110,0.4,0.66332495807108
IP_country_Bangladesh12,0.3,0.6403124237432849
IP_country_European_-_Union55,0.2,0.4
IP_country_Peru128,0.2,0.4000000000000001
IP_country_Slovakia_-_SLOVAK_-_Republic_-_145,0.1,0.30000000000000004
IP_country_Tunisia160,0.1,0.30000000000000004
IP_country_Czech_-_Republic45,0.1,0.30000000000000004
IP_country_Ireland78,0.1,0.30000000000000004
IP_country_Viet_-_Nam173,0.0,0.0
IP_country_Syrian_-_Arab_-_Republic154,0.0,0.0
IP_country_Vanuatu171,0.0,0.0
IP_country_Portugal131,0.0,0.0
IP_country_Uzbekistan170,0.0,0.0
IP_country_Puerto_-_Rico132,0.0,0.0
IP_country_Qatar133,0.0,0.0
IP_country_Venezuela172,0.0,0.0
IP_country_Panama125,0.0,0.0
IP_country_Virgin_-_Islands_-_U_-_S_-_174,0.0,0.0
IP_country_Papua_-_New_-_Guinea126,0.0,0.0
IP_country_Palestinian_-_Territory_-_Occupied124,0.0,0.0
IP_country_Pakistan123,0.0,0.0
IP_country_Oman122,0.0,0.0
IP_country_Yemen175,0.0,0.0
IP_country_Nigeria120,0.0,0.0
IP_country_Zambia176,0.0,0.0
IP_country_Niger119,0.0,0.0
IP_country_Uruguay169,0.0,0.0
IP_country_Ukraine164,0.0,0.0
IP_country_Reunion134,0.0,0.0
IP_country_United_-_Arab_-_Emirates165,0.0,0.0
IP_country_Sri_-_Lanka150,0.0,0.0
IP_country_South_-_Sudan148,0.0,0.0
IP_country_Zimbabwe177,0.0,0.0
IP_country_Slovenia146,0.0,0.0
IP_country_Tajikistan156,0.0,0.0
IP_country_Nicaragua118,0.0,0.0
IP_country_Tanzania_-_United_-_Republic_-_of157,0.0,0.0
IP_country_Singapore144,0.0,0.0
IP_country_Thailand158,0.0,0.0
IP_country_Seychelles143,0.0,0.0
IP_country_Serbia142,0.0,0.0
IP_country_Senegal141,0.0,0.0
IP_country_Trinidad_-_and_-_Tobago159,0.0,0.0
IP_country_Turkmenistan162,0.0,0.0
IP_country_San_-_Marino139,0.0,0.0
IP_country_Saint_-_Kitts_-_and_-_Nevis138,0.0,0.0
IP_country_Uganda163,0.0,0.0
IP_country_Rwanda137,0.0,0.0
IP_country_Sudan151,0.0,0.0
IP_country_Albania1,0.0,0.0
IP_country_Madagascar99,0.0,0.0
IP_country_New_-_Caledonia116,0.0,0.0
IP_country_Cuba42,0.0,0.0
IP_country_Cameroon30,0.0,0.0
IP_country_Cape_-_Verde32,0.0,0.0
IP_country_Cayman_-_Islands33,0.0,0.0
IP_country_Congo37,0.0,0.0
IP_country_Congo_-_The_-_Democratic_-_Republic_-_of_-_The38,0.0,0.0
IP_country_Costa_-_Rica39,0.0,0.0
IP_country_Cote_-_D_-_ivoire40,0.0,0.0
IP_country_Curacao43,0.0,0.0
IP_country_Burkina_-_Faso28,0.0,0.0
IP_country_Cyprus44,0.0,0.0
IP_country_Djibouti47,0.0,0.0
IP_country_Dominica48,0.0,0.0
