feature,importance,std
seconds_since_signup,383.9,21.54274819980032
purchase_value,358.3,23.268218668389725
age,292.3,10.129659421717989
hour_of_the_day,229.4,14.108153670838718
weekday_purchase_pca_199,48.7,3.579106033634656
weekday_purchase_pca_124,42.0,5.9497899122574065
browser_pca_99,39.0,4.427188724235731
month_purchase_pca_149,36.7,5.9169248769948055
browser_pca_24,36.5,13.764083696345354
month_purchase_pca_24,36.3,5.1778373863998475
weekday_purchase_pca_24,35.6,5.3516352641038605
browser_pca_199,35.3,7.1700767080973415
browser_pca_174,33.4,9.624967532412771
weekday_purchase_pca_149,33.3,4.382921400162226
browser_pca_124,33.3,7.785242449660769
sex_pca_124,30.7,7.810889834071404
month_purchase_pca_199,29.7,6.034069936618236
source_pca_74,29.7,5.710516614107694
browser_pca_149,29.6,5.370288632839022
month_purchase_pca_124,28.8,3.994996871087636
weekday_purchase_pca_49,27.8,4.791659420284375
weekday_purchase_pca_99,26.4,6.945502141674135
month_purchase_pca_4,26.4,2.8705400188814645
sex_pca_49,25.3,5.710516614107694
sex_pca_24,24.2,4.995998398718719
IP_country_pca_24,24.1,5.467174773134658
weekday_purchase_pca_174,24.1,4.459820624195551
weekday_purchase_pca_4,22.7,4.796873982084583
source_pca_49,22.6,6.2
weekday_purchase_pca_74,21.5,6.407027391856539
IP_country_pca_199,21.5,3.138470965295043
sex_pca_149,20.7,6.3095166217389425
month_purchase_pca_99,19.8,6.493073232299171
month_purchase_pca_49,19.7,4.220189569201838
IP_country_pca_101,19.0,5.830951894845301
IP_country_pca_124,18.8,4.874423042781576
IP_country_pca_174,17.8,3.789459064299283
IP_country_pca_149,17.8,6.144916598294887
IP_country_pca_49,17.7,4.838388161361178
month_purchase_pca_174,17.6,5.9531504264548865
IP_country_pca_99,17.5,2.7294688127912363
sex_pca_174,17.2,4.556314299957807
browser_pca_49,17.2,4.894895300208167
weekday_purchase_pca_1,16.2,4.28485705712571
month_purchase_pca_74,15.7,4.561797891182818
IP_country_pca_67,14.9,4.504442251822083
source_pca_174,14.9,3.3301651610693423
source_pca_99,14.9,5.337602458033007
weekday_purchase_pca_3,14.8,3.54400902933387
source_pca_124,14.8,5.8275209137333865
browser_pca_74,14.3,12.617844506887854
month_purchase_pca_6,13.8,1.077032961426901
weekday_purchase_pca_0,13.7,5.21632054229799
weekday_purchase_pca_5,13.5,3.5846896657869842
source_pca_24,13.3,4.73392015141785
IP_country_pca_41,13.1,7.189575787207476
sex_pca_199,12.0,2.4083189157584592
month_purchase_pca_0,11.9,2.5865034312755126
IP_country_pca_74,11.8,3.7894590642992836
IP_country_pca_19,11.7,5.0803543183522155
IP_country_pca_12,11.2,3.370459909270543
IP_country_pca_155,11.2,4.019950248448357
weekday_purchase_pca_2,11.1,4.134005321718878
sex_pca_74,11.0,7.113367697511496
month_purchase_pca_7,10.7,4.124318125460256
IP_country_pca_83,10.6,4.363484845854286
month_purchase_pca_8,10.6,3.8522720568516444
source_pca_149,10.5,4.410215414239989
month_purchase_pca_5,10.4,2.6907248094147422
weekday_purchase_pca_51,10.1,2.3853720883753127
browser_pca_0,9.9,6.024118192731614
IP_country_pca_3,9.7,2.1
weekday_purchase_pca_19,9.7,3.0016662039607267
IP_country_pca_23,9.6,2.8354893757515653
month_purchase_pca_9,9.5,3.1064449134018135
IP_country_pca_60,9.3,3.2878564445547194
IP_country_pca_2,9.1,3.3600595232822883
IP_country_pca_187,9.1,4.060788100849391
IP_country_pca_42,9.0,3.5777087639996634
IP_country_pca_18,9.0,2.569046515733026
IP_country_pca_65,8.9,2.507987240796891
IP_country_pca_77,8.8,2.521904042583698
IP_country_pca_128,8.8,4.621688003316537
IP_country_pca_13,8.8,1.9899748742132397
IP_country_pca_4,8.7,4.775981574503821
IP_country_pca_64,8.6,3.6932370625238775
IP_country_pca_198,8.6,2.2
IP_country_pca_163,8.5,3.930648801406709
IP_country_pca_93,8.5,2.9748949561287032
IP_country_pca_146,8.5,2.8722813232690143
browser_pca_1,8.5,4.759201613716317
IP_country_pca_100,8.4,3.006659275674582
IP_country_pca_15,8.4,2.973213749463701
IP_country_pca_35,8.4,2.870540018881465
IP_country_pca_10,8.3,2.72213151776324
IP_country_pca_69,8.3,2.647640458974745
IP_country_pca_197,8.1,3.7536648758246915
IP_country_pca_181,8.1,4.158124577258358
IP_country_pca_70,8.0,3.5496478698597698
IP_country_pca_0,8.0,2.04939015319192
weekday_purchase_pca_194,7.9,2.5865034312755126
IP_country_pca_7,7.7,3.001666203960727
IP_country_pca_37,7.6,2.2891046284519194
weekday_purchase_pca_11,7.6,2.4576411454889016
IP_country_pca_28,7.5,3.9812058474788765
IP_country_pca_9,7.5,2.1563858652847827
IP_country_pca_1,7.5,2.8372521918222215
IP_country_pca_5,7.4,2.8705400188814645
IP_country_pca_16,7.4,2.8000000000000003
IP_country_pca_186,7.4,4.386342439892262
IP_country_pca_31,7.4,2.4979991993593593
IP_country_pca_6,7.4,2.6907248094147422
IP_country_pca_182,7.4,3.2619012860600183
IP_country_pca_29,7.3,3.001666203960727
IP_country_pca_22,7.3,2.8301943396169813
IP_country_pca_34,7.3,2.8301943396169813
sex_pca_99,7.3,2.2825424421026654
IP_country_pca_136,7.2,2.5219040425836985
browser_pca_2,7.2,3.944616584663204
month_purchase_pca_3,7.2,1.8330302779823358
weekday_purchase_pca_59,7.2,2.227105745132009
weekday_purchase_pca_22,7.1,2.8792360097775935
IP_country_pca_36,7.1,1.9209372712298547
IP_country_pca_156,7.0,2.8284271247461903
IP_country_pca_180,7.0,3.4641016151377544
IP_country_pca_96,7.0,2.280350850198276
IP_country_pca_25,6.9,2.2561028345356955
weekday_purchase_pca_28,6.9,1.1357816691600546
IP_country_pca_141,6.9,2.3
IP_country_pca_103,6.9,2.7730849247724096
IP_country_pca_55,6.8,3.1559467676118995
IP_country_pca_56,6.8,1.8330302779823362
IP_country_pca_54,6.8,3.3105890714493698
IP_country_pca_196,6.7,2.6095976701399777
IP_country_pca_178,6.7,1.9519221295943137
IP_country_pca_92,6.7,2.570992026436488
IP_country_pca_38,6.6,3.006659275674582
IP_country_pca_20,6.6,2.5377155080899043
IP_country_pca_91,6.6,1.5620499351813308
weekday_purchase_pca_61,6.6,2.9393876913398143
weekday_purchase_pca_39,6.6,2.90516780926679
IP_country_pca_39,6.5,2.8372521918222215
IP_country_pca_45,6.5,2.692582403567252
IP_country_pca_8,6.4,2.3748684174075834
IP_country_pca_115,6.4,1.9595917942265424
IP_country_pca_144,6.4,2.3323807579381204
month_purchase_pca_1,6.4,2.374868417407584
IP_country_pca_195,6.4,3.2310988842807027
IP_country_pca_102,6.4,3.4698703145794947
IP_country_pca_159,6.3,2.3259406699226015
IP_country_pca_191,6.3,1.8466185312619388
