feature,importance,std
purchase_value,1324.7,44.19513547891894
browser_0,65.5,9.30859817588019
weekday_purchase_0,54.4,9.167333309092673
source_0,53.2,6.144916598294887
weekday_purchase_1,47.4,6.16765757804371
month_purchase_2,43.3,4.796873982084583
weekday_purchase_3,43.0,8.637129152675673
sex_0,41.6,6.873136110975833
weekday_purchase_2,37.4,6.167657578043709
browser_6,35.6,12.491597175701752
browser_2,34.5,10.092076099594175
browser_5,32.5,6.74166151627327
IP_country_92,31.3,7.4973328590906245
browser_3,31.3,9.077995373429092
IP_country_3,30.0,4.626013402488151
weekday_purchase_5,29.6,8.957678270623477
IP_country_156,29.2,5.979966555090421
weekday_purchase_4,27.0,6.618156843109719
browser_11,25.9,8.055432949258531
weekday_purchase_8,25.4,4.963869458396342
month_purchase_0,25.2,5.653317610041028
browser_14,23.0,6.767569726275452
IP_country_30,22.9,5.52177507691141
IP_country_25,22.7,4.73392015141785
IP_country_18,22.5,5.5362442142665635
browser_1,21.9,5.5578772926361015
browser_4,21.5,7.3246160308919945
month_purchase_1,21.1,3.9102429592034307
IP_country_1,20.8,3.54400902933387
IP_country_56,20.2,5.723635208501674
IP_country_31,20.0,2.7202941017470885
IP_country_74,19.1,5.769748694700663
source_1,19.0,5.813776741499453
source_2,18.9,4.504442251822083
IP_country_5,18.9,3.1128764832546763
weekday_purchase_6,18.7,5.0803543183522155
weekday_purchase_7,17.9,3.8845849199110063
IP_country_52,17.8,3.515679166249389
IP_country_4,16.8,3.682390527904394
IP_country_43,16.5,3.8013155617496426
IP_country_64,16.1,6.155485358604957
IP_country_6,16.0,3.22490309931942
IP_country_9,15.9,6.204030947698439
IP_country_28,15.9,4.060788100849391
IP_country_0,15.9,4.4821869662029945
IP_country_116,15.8,5.546169849544819
IP_country_41,15.5,3.556683848755748
IP_country_96,15.5,6.312685640834652
IP_country_36,15.5,5.445181356024793
IP_country_97,15.5,3.3541019662496847
IP_country_155,15.4,4.029888335921977
browser_7,15.3,3.1
IP_country_80,14.8,5.268775948927797
IP_country_142,14.6,2.8000000000000003
weekday_purchase_14,14.5,4.8425200051213
weekday_purchase_10,14.4,6.406246951218788
weekday_purchase_21,14.4,4.363484845854286
IP_country_161,14.3,4.517742799230607
IP_country_89,14.3,3.7429934544425802
month_purchase_4,14.0,3.687817782917155
IP_country_14,13.9,2.7
IP_country_33,13.6,3.9799497484264803
IP_country_101,13.5,1.8027756377319946
IP_country_12,13.4,3.0397368307141326
IP_country_2,13.4,3.3226495451672298
IP_country_127,13.3,2.72213151776324
IP_country_111,13.3,5.158488150611572
IP_country_114,13.3,5.814636704042653
IP_country_17,13.2,3.4
IP_country_11,13.0,3.5496478698597698
IP_country_84,12.7,2.7221315177632404
IP_country_139,12.5,5.06458290484024
IP_country_177,12.5,5.572252686302013
IP_country_21,12.3,4.583666654546336
month_purchase_5,12.3,3.4942810419312296
month_purchase_23,12.2,3.3704599092705436
weekday_purchase_11,12.1,3.5902646142032486
IP_country_76,12.0,5.272570530585627
IP_country_10,11.9,3.3000000000000003
IP_country_69,11.9,3.1128764832546763
IP_country_172,11.7,4.960846701924985
IP_country_46,11.3,4.517742799230607
IP_country_23,11.1,3.5341194094144583
IP_country_187,11.1,4.548626166217664
month_purchase_15,10.9,3.477067730142742
IP_country_160,10.9,2.9816103031751147
IP_country_77,10.9,3.3600595232822887
source_3,10.9,3.2078029864690882
IP_country_7,10.8,4.044749683231337
IP_country_191,10.7,2.9681644159311658
IP_country_150,10.6,4.409081537009721
weekday_purchase_9,10.6,4.1036569057366385
IP_country_178,10.6,3.352610922848042
month_purchase_9,10.6,4.608687448721165
month_purchase_8,10.6,3.1368774282716245
browser_15,10.5,3.905124837953327
IP_country_49,10.4,1.8000000000000003
month_purchase_7,10.4,3.3823069050575527
IP_country_27,10.3,2.5317977802344327
IP_country_189,10.3,3.494281041931229
IP_country_66,10.2,2.891366458960192
IP_country_60,10.2,2.7129319932501073
weekday_purchase_13,10.1,3.3600595232822887
IP_country_82,10.1,2.4677925358506134
IP_country_75,9.9,3.047950130825634
IP_country_29,9.9,2.879236009777594
IP_country_137,9.8,3.1240998703626617
IP_country_20,9.8,4.166533331199932
IP_country_22,9.8,2.3579652245103193
IP_country_57,9.8,2.993325909419153
