feature,importance,std
TransactionDT,4169.0,84.45827372140636
card1,4117.8,60.96851646546766
card2,3890.4,101.6515617194345
addr1,3478.6,94.4131346794502
TransactionAmt,3191.4,54.45034435152821
D15,1810.4,51.00235288690121
dist1,1687.2,34.841928764062416
C13,1475.0,29.889797590482274
card5,1436.3,22.013859270922943
D10,1395.0,24.8112877537624
D4,1347.2,45.035097424120224
D2,1306.1,58.389125699910934
D11,1038.0,49.442896355290515
C1,1033.8,29.308019380367547
D1,1014.3,25.231131564002435
id_20,924.6,30.864866758176678
id_02,872.4,43.74517116208371
C2,802.1,30.3
id_19,785.0,50.0679538227797
D8,759.4,30.71221255461742
D3,685.5,27.09335711941213
C11,655.3,23.112983364334426
C6,642.9,16.32452143249535
D5,637.7,17.922332437492617
C14,637.0,22.289010745208053
V313,585.9,31.728378464711994
C9,551.1,14.38367129769031
M4,541.2,17.388501948126525
M5,517.3,11.670903992407785
dist2,504.4,17.681628884240276
V307,481.4,19.391750823481615
M6,464.3,14.879852149803103
V310,459.8,18.410866356584094
id_33,430.7,16.71556161186336
P_emaildomain_pca_24,428.7,19.555306185278717
id_06,402.7,11.705127081753533
id_05,399.6,16.572265988693278
C5,386.6,20.56307370020348
P_emaildomain_pca_49,368.5,16.51817181167456
V315,363.8,18.44884820253015
D9,353.5,20.524375751773793
D14,347.1,16.914195221765652
id_01,327.9,22.748406537601706
V314,326.4,17.749366185867032
id_13,323.2,21.437350582569668
card6_pca_24,313.4,13.335666462535722
card3,308.6,7.2
V130,292.9,26.960897611170143
card4_pca_24,289.2,13.833293172632466
V83,274.1,14.542695761102891
C8,248.8,11.973303637676612
V87,248.3,13.023440405668541
V82,243.9,19.521526579650477
V62,243.4,11.155267813907471
card4_pca_49,242.1,12.32436610945975
P_emaildomain_pca_1,239.3,11.849472562101656
V312,236.1,12.856515857727553
V127,228.9,15.67450158697239
V76,228.7,11.072939989000211
C12,228.6,10.781465577554842
V53,225.8,16.33891061240008
V75,224.1,10.396634070698074
P_emaildomain_pca_0,219.5,16.924833824885845
D6,218.5,20.234870891606896
V308,217.0,14.690132742763083
DeviceInfo_pca_49,216.5,21.13409567499873
V317,215.7,14.283206922816738
C10,214.1,15.852129194527782
M3,208.8,10.077698149875298
V54,206.5,21.85520532962342
D12,204.1,13.12592853858347
V45,202.5,12.076837334335508
D13,199.0,9.612491872558333
V320,193.9,13.148764200486676
id_31_pca_49,193.4,12.986146464598342
id_31_pca_0,193.2,16.04867595784774
V61,191.5,13.734991809244008
id_14,189.1,12.0287156421623
M9,188.5,12.722028140198402
V20,187.6,12.306096050332128
card6_pca_0,187.5,10.74476616776745
card6_pca_49,187.1,17.03789893149974
id_31_pca_24,185.6,12.674383614203888
V78,183.0,13.281566172707194
V38,180.5,14.073023839957068
M8,179.6,10.101485039339513
V13,178.8,16.75589448522519
V35,178.1,12.941792766073794
P_emaildomain_pca_4,177.9,9.51262319236918
V131,176.0,16.75708805252273
P_emaildomain_pca_3,171.9,11.0131739294356
R_emaildomain_pca_24,170.2,11.435033887138246
V36,167.3,15.665567337316578
V283,164.8,15.85433694608513
V309,161.0,12.47397290361014
P_emaildomain_pca_2,160.6,10.37496987947435
id_18,159.3,12.744018204632322
V12,159.2,11.338430226446693
V5,157.8,6.063002556489648
R_emaildomain_pca_49,157.1,13.479243302203578
M7,153.4,8.487638069569178
V311,147.8,12.615863030328129
V285,147.0,13.258959235173778
P_emaildomain_pca_16,146.8,10.514751542475931
V281,146.6,9.3936148526539
P_emaildomain_pca_5,145.0,10.714476188783099
V77,142.1,9.364293886887575
P_emaildomain_pca_7,140.3,13.409325113517086
V306,139.4,13.268006632497588
V86,138.8,12.69488085804668
P_emaildomain_pca_9,137.7,9.76780425684299
V129,136.6,9.035485598461214
V282,135.8,14.971973817770325
V44,135.6,13.283071933856265
V291,135.3,6.870953354520755
V136,135.1,12.037026210821343
V56,134.1,10.396634070698074
P_emaildomain_pca_8,133.8,9.672641831474998
P_emaildomain_pca_15,133.2,13.302631318652711
V294,131.1,7.368174807915458
M2,129.8,12.286578042726134
V19,129.6,10.818502669038818
P_emaildomain_pca_6,126.0,12.553883861180172
P_emaildomain_pca_10,125.0,6.434283176858165
id_31_pca_21,124.1,6.876772498781678
V67,122.4,9.656086163658648
id_31_pca_20,120.9,6.5337584895678535
V128,120.5,13.124404748406688
card4_pca_0,120.2,10.703270528207723
P_emaildomain_pca_44,120.2,12.188519188154071
id_31_pca_5,119.2,6.925315877272314
V48,118.0,12.457929201917949
id_31_pca_3,117.6,8.46404158779953
id_31_pca_2,116.6,8.879189152169246
V4,115.1,10.47329938462565
id_17,114.1,11.886547017532047
V37,113.1,8.768694315575154
DeviceInfo_pca_16,112.4,6.280127387243033
P_emaildomain_pca_14,111.4,10.983624174196784
V133,109.9,7.595393340703297
DeviceInfo_pca_15,108.8,12.952219886953742
P_emaildomain_pca_30,108.5,8.879752248796134
id_31_pca_27,108.3,9.920181449953423
DeviceInfo_pca_45,107.0,9.549869109050658
id_31_pca_10,106.4,11.53429668423697
id_31_pca_12,106.4,6.359245238233859
id_31_pca_17,106.3,10.649413129370085
ProductCD,106.3,3.4655446902326914
V55,106.2,6.523802572120037
V126,106.2,8.73842090998139
id_31_pca_9,105.7,11.68802806293688
DeviceInfo_pca_18,105.5,8.686195945291587
DeviceInfo_pca_44,105.3,11.00954131651269
P_emaildomain_pca_19,104.8,9.453041838477178
id_30_pca_24,104.7,10.479026672358458
id_31_pca_14,104.6,13.222707740852476
P_emaildomain_pca_13,104.3,11.662332528272376
id_09,103.9,8.431488599292535
P_emaildomain_pca_26,103.9,6.503076195155644
V24,103.4,8.777243302996677
P_emaildomain_pca_47,103.2,11.838918869558993
id_31_pca_6,103.1,6.729784543356496
id_31_pca_11,103.1,10.737318100903968
id_03,103.0,9.241212041718338
id_31_pca_28,102.1,9.004998611882181
P_emaildomain_pca_23,102.0,8.555699854482976
DeviceInfo_pca_29,101.5,9.113177272499422
id_31_pca_16,101.1,9.994498486667553
id_31_pca_44,100.9,8.642337646724988
P_emaildomain_pca_11,100.7,8.173738434767778
DeviceInfo_pca_24,100.7,11.636580253665594
id_31_pca_45,100.6,8.879189152169246
DeviceInfo_pca_40,100.6,10.248902380255165
DeviceInfo_pca_0,100.4,6.7557383016218155
DeviceInfo_pca_25,100.2,3.969886648255841
id_31_pca_7,98.9,13.479243302203578
DeviceInfo_pca_46,98.8,6.779380502671317
id_31_pca_15,98.3,9.011659114724658
DeviceInfo_pca_31,97.8,10.254754994635416
DeviceInfo_pca_39,97.0,9.197825830053535
id_31_pca_46,96.6,12.297967311714567
P_emaildomain_pca_43,96.5,9.013878188659973
id_31_pca_4,96.3,9.798469268207151
DeviceInfo_pca_42,96.1,9.428149341201593
V90,95.9,6.236184731067546
id_30_pca_49,95.3,8.820997676000149
P_emaildomain_pca_41,95.2,10.833282051160674
id_31_pca_38,95.1,9.082400563727631
P_emaildomain_pca_17,94.5,10.413932974625869
id_31_pca_13,94.4,9.446692542895635
DeviceInfo_pca_35,94.3,11.739250401963492
P_emaildomain_pca_25,94.3,7.1
V264,94.2,8.726969691708572
DeviceInfo_pca_32,94.1,8.971621926942754
DeviceInfo_pca_34,93.7,10.761505470890214
C4,93.7,6.928924880528004
id_31_pca_30,93.5,13.10915710486376
DeviceInfo_pca_12,93.4,7.172168430816443
P_emaildomain_pca_32,93.3,5.762811813689564
V318,93.2,12.631706139710504
id_31_pca_37,92.9,6.4257295305669375
id_31_pca_19,92.6,10.509043724335722
id_31_pca_26,92.6,8.475848040166836
id_31_pca_42,91.2,9.56869897112455
id_31_pca_48,90.8,10.274239631233058
V10,90.8,8.518215775618742
id_31_pca_25,90.7,6.197580172938467
DeviceInfo_pca_43,90.4,9.531002045955084
P_emaildomain_pca_27,90.4,9.65608616365865
D7,90.1,10.755928597754822
DeviceInfo_pca_3,90.0,10.601886624558858
DeviceInfo_pca_41,90.0,9.622889378975527
R_emaildomain_pca_1,89.8,8.588364221433554
id_31_pca_47,89.6,11.038115781237302
V165,89.4,6.019966777316965
id_31_pca_1,89.1,12.086769626331098
DeviceInfo_pca_47,88.8,11.513470371699404
P_emaildomain_pca_36,88.4,9.759098319004682
DeviceInfo_pca_11,88.4,8.039900496896712
id_31_pca_18,88.3,9.413288479590966
V91,87.7,6.356886030125127
P_emaildomain_pca_35,87.2,8.328265125462805
DeviceInfo_pca_7,87.1,11.802118453904791
DeviceInfo_pca_33,87.0,6.899275324264136
id_31_pca_36,86.7,11.739250401963492
V49,86.6,7.017121917139535
P_emaildomain_pca_21,86.3,9.306449376641986
id_31_pca_34,86.2,7.2636079189339515
card4_pca_2,85.8,5.035871324805668
P_emaildomain_pca_39,85.7,10.526632889960588
V261,85.3,9.284934033152847
P_emaildomain_pca_37,85.2,9.754998718605759
DeviceInfo_pca_19,85.1,6.729784543356496
DeviceInfo_pca_23,84.9,11.742657280190034
id_31_pca_35,84.9,12.692123541787637
V70,84.2,3.0594117081556713
id_31_pca_32,84.0,10.382677881933928
id_31_pca_39,83.5,10.111874208078342
V316,83.5,11.77497346069196
id_31_pca_40,83.4,9.024411338142782
id_31_pca_31,83.4,13.763720427268202
P_emaildomain_pca_12,82.7,9.829038610159184
V29,82.7,9.910095862301233
DeviceInfo_pca_9,82.2,6.968500556073738
V277,81.9,13.953135848260061
id_31_pca_43,81.7,13.296992141082132
DeviceInfo_pca_14,81.4,9.414881836751857
id_31_pca_23,80.8,7.110555533852471
V69,80.8,12.33531515608742
V267,80.3,10.517128885774861
DeviceInfo_pca_8,80.1,8.030566605165541
id_31_pca_29,80.0,7.155417527999327
DeviceInfo_pca_20,79.5,7.8390050389064045
V99,79.4,10.594338110519223
card4_pca_3,79.2,8.388086790204307
DeviceInfo_pca_48,78.7,8.173738434767778
V23,78.2,9.303762679690406
P_emaildomain_pca_18,78.0,7.26636084983398
P_emaildomain_pca_28,77.8,9.335952013587045
DeviceInfo_pca_22,76.8,7.11055553385247
DeviceInfo_pca_37,76.5,10.452272480183437
P_emaildomain_pca_46,76.4,6.406246951218788
id_31_pca_22,76.4,8.97997772825746
V321,76.3,10.696261028976433
id_31_pca_33,75.8,9.14111590562115
P_emaildomain_pca_33,75.5,7.365459931328117
DeviceInfo_pca_26,75.4,12.807810117268291
DeviceInfo_pca_6,75.3,7.537240874484508
V266,75.2,10.225458424931373
DeviceInfo_pca_28,75.1,6.992138442565335
DeviceInfo_pca_21,74.8,6.764613810115105
V296,74.1,5.008991914547277
DeviceInfo_pca_5,73.4,6.499230723708768
V66,73.1,6.609841147864296
P_emaildomain_pca_48,72.8,11.303096920755832
DeviceInfo_pca_13,72.4,6.8731361109758335
DeviceType_pca_24,72.2,9.042123644365853
P_emaildomain_pca_20,72.0,6.648308055437865
V96,71.9,6.315853069855251
V30,71.6,8.867919710958146
DeviceInfo_pca_10,71.6,9.520504188329523
P_emaildomain_pca_31,71.5,6.232976816898969
id_31_pca_41,71.4,10.594338110519221
DeviceInfo_pca_17,70.9,6.10655385630881
id_31_pca_8,70.1,4.968903299521937
V74,70.1,6.7149087856798175
DeviceInfo_pca_1,70.0,12.922847983320086
P_emaildomain_pca_22,69.9,8.178630692236935
P_emaildomain_pca_29,69.9,8.043009387039158
P_emaildomain_pca_34,69.4,6.606057825965498
DeviceInfo_pca_30,69.1,11.076551810017412
P_emaildomain_pca_38,69.0,9.969954864491614
V26,68.5,9.891915891272024
V139,68.0,6.708203932499369
V7,67.6,5.678027826631356
V274,66.8,6.9397406291589885
P_emaildomain_pca_42,66.7,10.188719252192595
V25,66.3,5.780138406647371
V203,66.3,10.742904635153382
DeviceInfo_pca_38,66.0,7.576278769950324
id_11,65.9,7.4893257373411135
V124,65.5,6.652067347825035
P_emaildomain_pca_45,65.2,8.182909018191515
V135,64.9,10.885311203635844
R_emaildomain_pca_0,64.9,9.159148432032316
DeviceInfo_pca_27,64.4,8.511169132381285
V220,64.3,6.481512169239521
V221,64.3,7.563729238940273
V6,63.6,5.660388679233963
V3,63.5,8.523496934944014
V187,63.0,7.576278769950324
