feature,importance,std
CURRENT_PINCODE_ID,2441.1,33.33301666516248
EMPLOYEE_CODE_ID,2214.4,39.36546709998498
LTV,2123.9,28.535767030167598
SUPPLIER_ID,2090.1,51.916182448250176
DISBURSED_AMOUNT,2013.2,44.12210330435302
yearh_OF_BIRTH,1632.1,39.31526421124497
ASSET_COST,1601.5,23.061873297718034
BRANCH_ID,1361.8,26.445415481704952
PERFORM_CNS_SCORE,1313.5,27.893547640986796
PRIMARY_INSTAL_AMT,1211.1,29.080749646458568
CREDIT_HISTORY_LENGTH,1184.8,24.07820591323199
PRI_CURRENT_BALANCE,1059.0,32.37900554371613
AVERAGE_ACCT_AGE,899.2,30.274741947702875
PRI_SANCTIONED_AMOUNT,866.5,33.60431519909311
month_OF_BIRTH,814.2,27.006665843824557
PRI_NO_OF_ACCTS,718.2,20.023985617254123
STATE_ID,714.7,21.8680131699247
PRI_DISBURSED_AMOUNT,660.5,22.79144576370705
weekday_OF_BIRTH,616.6,29.114257675578816
weekday_OF_DISBURSAL,616.3,21.986586820150144
MANUFACTURER_ID,596.6,15.435025105259792
NO_OF_INQUIRIES,389.6,15.24598307751914
EMPLOYMENT_TYPE,357.9,11.928537211242626
month_OF_DISBURSAL,349.7,15.362616964566941
PRI_OVERDUE_ACCTS,341.0,10.227414140436476
PRI_ACTIVE_ACCTS,304.8,21.259350883787587
PERFORM_CNS_SCORE_DESCRIPTION,270.7,14.42948370524739
DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,237.4,9.057593499379403
NEW_ACCTS_IN_LAST_SIX_MONTHS,230.4,14.12940196894405
VOTERID_FLAG,127.4,11.909659944767524
AADHAR_FLAG,79.5,6.15223536610881
PAN_FLAG,76.1,10.783784122468328
SEC_CURRENT_BALANCE,74.8,9.693296652842108
SEC_SANCTIONED_AMOUNT,62.2,8.340263784797216
SEC_INSTAL_AMT,53.1,4.205948168962618
SEC_NO_OF_ACCTS,43.8,4.534313619501853
SEC_DISBURSED_AMOUNT,41.7,4.94064773081425
SEC_OVERDUE_ACCTS,20.0,3.03315017762062
DRIVING_FLAG,19.6,3.6386810797320503
SEC_ACTIVE_ACCTS,14.1,3.83275357934736
PASSPORT_FLAG,6.9,2.879236009777594
MOBILENO_AVL_FLAG,0.0,0.0
yearh_OF_DISBURSAL,0.0,0.0
