feature,importance,std
CURRENT_PINCODE_ID,1536.4,25.43698095293543
LTV,1233.8,35.09358915813542
SUPPLIER_ID,1170.5,34.45068939803672
EMPLOYEE_CODE_ID,1136.2,29.674231245307773
DISBURSED_AMOUNT,1023.6,36.07270436216281
ASSET_COST,972.2,27.09169614475993
yearh_OF_BIRTH,946.3,20.30295544988463
BRANCH_ID,897.7,34.42106912924118
CREDIT_HISTORY_LENGTH,662.4,20.03596765818911
PRIMARY_INSTAL_AMT,652.3,15.492256130079959
PRI_CURRENT_BALANCE,475.3,21.88172753691993
AVERAGE_ACCT_AGE,455.1,31.756731569857752
STATE_ID,445.3,20.189353630069487
PRI_SANCTIONED_AMOUNT,436.0,23.82435728409058
PRI_NO_OF_ACCTS,378.7,11.79025020938911
MANUFACTURER_ID,376.9,12.949517365523706
PRI_DISBURSED_AMOUNT,364.5,14.451643505151932
PERFORM_CNS_SCORE,353.8,21.022844717116662
NO_OF_INQUIRIES,260.6,8.912911982062877
PRI_OVERDUE_ACCTS,182.9,9.31074647920348
PRI_ACTIVE_ACCTS,174.9,12.061923561356208
weekday_OF_DISBURSAL_pca_124,170.0,13.130118049735882
DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,167.0,9.808159868191384
weekday_OF_BIRTH_pca_149,147.8,11.504781614615725
weekday_OF_DISBURSAL_pca_174,141.5,8.40535543567314
month_OF_DISBURSAL_pca_1,130.2,9.15204895091804
weekday_OF_DISBURSAL_pca_49,118.9,10.568348972285122
NEW_ACCTS_IN_LAST_SIX_MONTHS,117.6,5.219195340279955
weekday_OF_BIRTH_pca_199,115.8,13.687950905814938
month_OF_BIRTH_pca_149,115.4,13.857849761056007
EMPLOYMENT_TYPE_pca_99,115.2,9.724196624914574
weekday_OF_DISBURSAL_pca_199,108.0,8.438009243891594
weekday_OF_DISBURSAL_pca_149,106.2,9.19565114605812
month_OF_DISBURSAL_pca_199,105.6,8.73155198117723
month_OF_DISBURSAL_pca_124,105.5,10.471389592599447
month_OF_BIRTH_pca_174,103.7,10.92748827498799
EMPLOYMENT_TYPE_pca_74,102.6,5.817215828899594
weekday_OF_DISBURSAL_pca_99,102.6,12.515590277729611
weekday_OF_BIRTH_pca_99,99.3,6.588626564011653
weekday_OF_BIRTH_pca_124,98.7,9.623408959407264
month_OF_BIRTH_pca_99,97.1,9.533624704172071
EMPLOYMENT_TYPE_pca_124,96.5,9.656603957913983
EMPLOYMENT_TYPE_pca_149,96.5,7.269800547470337
weekday_OF_BIRTH_pca_74,95.7,9.716480844420989
weekday_OF_BIRTH_pca_174,94.1,12.202049008260868
month_OF_BIRTH_pca_49,92.9,8.91571646027396
month_OF_DISBURSAL_pca_174,92.5,10.49047186736612
weekday_OF_BIRTH_pca_49,92.3,8.59127464349732
PERFORM_CNS_SCORE_DESCRIPTION_pca_174,91.9,11.657186624567696
month_OF_DISBURSAL_pca_99,90.1,9.038252043398657
month_OF_BIRTH_pca_124,89.8,9.357350052231668
month_OF_BIRTH_pca_24,89.7,8.877499647986475
VOTERID_FLAG,87.2,8.109253973085318
