feature,importance,std
CURRENT_PINCODE_ID,2332.8,36.4384412399872
EMPLOYEE_CODE_ID,2079.3,37.33644332284477
LTV,1917.7,32.19021590483668
SUPPLIER_ID,1884.5,31.752952618614856
DISBURSED_AMOUNT,1829.7,35.530409510727566
yearh_OF_BIRTH,1541.2,24.30966885829587
ASSET_COST,1515.5,22.34390297150433
BRANCH_ID,1269.3,38.91285134759466
PRIMARY_INSTAL_AMT,1125.6,29.953964679153913
PERFORM_CNS_SCORE,1098.4,20.533874451744364
CREDIT_HISTORY_LENGTH,1087.6,23.622870274376055
PRI_CURRENT_BALANCE,947.9,29.669681494751504
AVERAGE_ACCT_AGE,833.6,21.68962885805103
month_OF_BIRTH,807.7,23.2896972930092
PRI_SANCTIONED_AMOUNT,797.2,31.140969798643074
PRI_NO_OF_ACCTS,679.5,13.5
STATE_ID,652.9,18.64644738281263
PRI_DISBURSED_AMOUNT,601.8,28.919889349719167
weekday_OF_BIRTH,564.2,41.949493441518456
MANUFACTURER_ID,543.0,18.611824198610947
PERFORM_CNS_SCORE_DESCRIPTION,532.6,9.562426470305535
weekday_OF_DISBURSAL,530.3,15.146286673637205
NO_OF_INQUIRIES,379.6,9.551963149007642
month_OF_DISBURSAL,359.2,14.864723340849638
EMPLOYMENT_TYPE,332.8,11.469960767151735
PRI_ACTIVE_ACCTS,295.2,13.257450735341243
PRI_OVERDUE_ACCTS,293.0,8.17312669668102
DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,233.8,10.84250893474384
NEW_ACCTS_IN_LAST_SIX_MONTHS,215.6,9.436100889668358
VOTERID_FLAG,117.8,4.812483766206386
AADHAR_FLAG,79.5,6.74166151627327
SEC_CURRENT_BALANCE,71.3,7.457211275000863
PAN_FLAG,70.2,4.791659420284375
SEC_SANCTIONED_AMOUNT,57.6,5.388877434122992
SEC_INSTAL_AMT,50.3,8.038034585643434
SEC_DISBURSED_AMOUNT,39.3,6.694027188471825
SEC_NO_OF_ACCTS,37.3,3.63455636907725
SEC_OVERDUE_ACCTS,18.2,4.1182520563948
SEC_ACTIVE_ACCTS,15.2,3.280243893371345
DRIVING_FLAG,14.9,4.39203825119955
PASSPORT_FLAG,6.9,3.3896902513356584
MOBILENO_AVL_FLAG,0.0,0.0
yearh_OF_DISBURSAL,0.0,0.0
