feature,importance,std
CURRENT_PINCODE_ID,2518.4,31.8188623303851
EMPLOYEE_CODE_ID,2238.1,31.10771608459869
LTV,2143.6,39.504936400404446
SUPPLIER_ID,1905.2,35.87422473029905
DISBURSED_AMOUNT,1850.2,32.865787682634355
ASSET_COST,1729.2,50.31461020419417
yearh_OF_BIRTH,1607.8,27.147007201531437
BRANCH_ID,1447.2,26.12584926849269
PRIMARY_INSTAL_AMT,1217.2,28.43167247982433
CREDIT_HISTORY_LENGTH,1185.3,32.73545478529358
PERFORM_CNS_SCORE,1180.9,35.56810368855781
PRI_CURRENT_BALANCE,946.1,16.735889578985635
AVERAGE_ACCT_AGE,913.8,22.653035116734358
PRI_SANCTIONED_AMOUNT,826.8,18.55693940282179
STATE_ID,679.6,22.53974267821175
PRI_DISBURSED_AMOUNT,673.8,30.772715187321378
PRI_NO_OF_ACCTS,657.8,18.492160501142095
MANUFACTURER_ID,569.7,21.959280498231266
NO_OF_INQUIRIES,363.0,16.864163187066236
PRI_OVERDUE_ACCTS,289.2,17.27888885316414
PRI_ACTIVE_ACCTS,284.7,17.000294115102832
DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,252.0,13.0
month_OF_BIRTH_January4,227.7,11.75627492022877
NEW_ACCTS_IN_LAST_SIX_MONTHS,217.2,13.680643259730152
month_OF_DISBURSAL_October1,208.3,10.109896141899778
EMPLOYMENT_TYPE_Self_-_employed1,201.2,7.8204859184068605
month_OF_DISBURSAL_September2,182.2,10.721940122944167
EMPLOYMENT_TYPE_Salaried0,172.2,8.975522268926749
VOTERID_FLAG,111.7,9.757561170702441
weekday_OF_DISBURSAL_Wednesday6,97.3,7.950471684120383
weekday_OF_DISBURSAL_Friday0,85.1,9.438749917229506
AADHAR_FLAG,82.9,9.554580053565934
PAN_FLAG,82.7,7.772387020729218
PERFORM_CNS_SCORE_DESCRIPTION_M_-_Very_-_High_-_Risk12,80.2,10.88852607105296
SEC_CURRENT_BALANCE,76.4,10.121264743103996
weekday_OF_DISBURSAL_Thursday4,75.3,7.014983962918233
weekday_OF_DISBURSAL_Tuesday5,70.4,7.351190379795643
weekday_OF_BIRTH_Sunday3,68.5,10.121758740456126
weekday_OF_BIRTH_Friday0,66.4,10.43264108459598
SEC_INSTAL_AMT,62.7,5.292447448959697
SEC_SANCTIONED_AMOUNT,59.9,10.103959619871805
month_OF_DISBURSAL_August0,56.4,5.571355310873648
PERFORM_CNS_SCORE_DESCRIPTION_K_-_High_-_Risk10,51.9,6.28410693734599
weekday_OF_BIRTH_Tuesday5,51.7,5.496362433464518
weekday_OF_DISBURSAL_Monday1,50.4,7.592101158440923
month_OF_BIRTH_June6,50.4,10.34601372510205
weekday_OF_BIRTH_Monday1,50.2,5.99666574022598
weekday_OF_DISBURSAL_Saturday2,49.1,7.816009211867652
month_OF_BIRTH_February3,47.1,7.555792479945436
month_OF_BIRTH_November9,44.7,6.753517601961218
month_OF_BIRTH_July5,44.4,6.135144660071187
month_OF_BIRTH_December2,43.7,4.428317965096906
SEC_NO_OF_ACCTS,43.6,6.499230723708768
PERFORM_CNS_SCORE_DESCRIPTION_I_-_Medium_-_Risk8,43.4,5.589275444992849
SEC_DISBURSED_AMOUNT,43.1,6.9346953790343235
PERFORM_CNS_SCORE_DESCRIPTION_D_-_Very_-_Low_-_Risk3,38.0,5.0
weekday_OF_DISBURSAL_Sunday3,36.7,8.210359310042405
month_OF_BIRTH_April0,35.8,7.4404300950953095
month_OF_BIRTH_August1,34.9,6.729784543356496
weekday_OF_BIRTH_Wednesday6,34.9,18.1738823590338
PERFORM_CNS_SCORE_DESCRIPTION_H_-_Medium_-_Risk7,34.5,4.318564576337836
PERFORM_CNS_SCORE_DESCRIPTION_Not_-_Scored_-_Not_-_Enough_-_Info_-_available_-_on_-_the_-_customer17,33.8,4.354308211415448
PERFORM_CNS_SCORE_DESCRIPTION_Not_-_Scored_-_No_-_Activity_-_seen_-_on_-_the_-_customer_-_Inactive_-_15,33.0,5.813776741499453
weekday_OF_BIRTH_Thursday4,31.9,12.348684140425652
weekday_OF_BIRTH_Saturday2,30.0,17.0
PERFORM_CNS_SCORE_DESCRIPTION_J_-_High_-_Risk9,28.4,7.045565981523415
month_OF_BIRTH_May8,28.2,5.670978751503131
month_OF_BIRTH_October10,24.2,7.453858061433689
month_OF_BIRTH_March7,23.7,8.95600357302296
PERFORM_CNS_SCORE_DESCRIPTION_B_-_Very_-_Low_-_Risk1,22.6,4.294182110716778
PERFORM_CNS_SCORE_DESCRIPTION_E_-_Low_-_Risk4,22.4,2.8
DRIVING_FLAG,20.1,5.448853090330111
month_OF_BIRTH_September11,19.9,5.068530358989674
SEC_OVERDUE_ACCTS,16.4,4.103656905736638
PERFORM_CNS_SCORE_DESCRIPTION_C_-_Very_-_Low_-_Risk2,16.1,5.629387178015028
PERFORM_CNS_SCORE_DESCRIPTION_Not_-_Scored_-_Sufficient_-_History_-_Not_-_Available19,15.9,4.825971404805461
