feature,importance,std
CURRENT_PINCODE_ID,2508.8,36.460389465829905
EMPLOYEE_CODE_ID,2268.6,57.78096572401677
LTV,2135.4,30.391446164998467
SUPPLIER_ID,2082.9,46.4487890046662
DISBURSED_AMOUNT,1971.8,39.95947947608928
ASSET_COST,1683.9,40.71719538475115
yearh_OF_BIRTH,1675.8,33.15056560603453
BRANCH_ID,1388.0,23.672769166280485
CREDIT_HISTORY_LENGTH,1228.1,36.72179189527657
PRIMARY_INSTAL_AMT,1225.0,45.49945054613297
PERFORM_CNS_SCORE,1173.1,37.82975019743059
PRI_CURRENT_BALANCE,1035.3,41.16321173086474
AVERAGE_ACCT_AGE,924.4,26.26480534860291
month_OF_BIRTH,890.4,29.107387378464594
PRI_SANCTIONED_AMOUNT,885.5,32.818439938546746
PRI_NO_OF_ACCTS,733.3,14.546820958546235
STATE_ID,697.5,22.7343352662883
PRI_DISBURSED_AMOUNT,664.3,19.00026315607234
weekday_OF_BIRTH,624.8,27.96354770053328
weekday_OF_DISBURSAL,614.4,30.489998360118026
PERFORM_CNS_SCORE_DESCRIPTION,591.3,19.396133635340835
MANUFACTURER_ID,585.1,15.559241626763177
NO_OF_INQUIRIES,396.4,11.137324633860684
month_OF_DISBURSAL,385.3,11.506954418958998
EMPLOYMENT_TYPE,346.3,10.59292216529509
PRI_ACTIVE_ACCTS,313.2,21.343851573696817
PRI_OVERDUE_ACCTS,306.3,12.853404218338424
DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,241.0,6.797058187186572
NEW_ACCTS_IN_LAST_SIX_MONTHS,237.1,11.953660527219267
VOTERID_FLAG,125.2,7.249827584156743
SEC_CURRENT_BALANCE,82.8,6.615134163416491
AADHAR_FLAG,82.8,5.455272678794342
PAN_FLAG,71.2,8.072174428244226
SEC_INSTAL_AMT,62.5,8.980534505250787
SEC_SANCTIONED_AMOUNT,61.3,8.54458893101359
SEC_DISBURSED_AMOUNT,45.3,7.197916365171244
SEC_NO_OF_ACCTS,42.2,3.5721142198983507
SEC_OVERDUE_ACCTS,19.6,4.2708313008125245
DRIVING_FLAG,17.7,5.883026432033091
SEC_ACTIVE_ACCTS,15.1,3.83275357934736
PASSPORT_FLAG,8.0,3.03315017762062
MOBILENO_AVL_FLAG,0.0,0.0
yearh_OF_DISBURSAL,0.0,0.0
