feature,importance,std
CURRENT_PINCODE_ID,1880.6,34.57802770546637
EMPLOYEE_CODE_ID,1550.0,40.52653451752321
LTV,1545.0,33.8260254833464
SUPPLIER_ID,1494.7,31.157824057530075
DISBURSED_AMOUNT,1332.6,33.814789663695976
ASSET_COST,1292.8,26.577434037167695
yearh_OF_BIRTH,1190.5,22.375209496225953
BRANCH_ID,1095.6,34.465054765660824
PERFORM_CNS_SCORE,1040.6,29.46930606580345
PRIMARY_INSTAL_AMT,877.4,21.97362054828471
CREDIT_HISTORY_LENGTH,864.6,31.44900634360329
AVERAGE_ACCT_AGE,651.1,26.36076630145641
PRI_CURRENT_BALANCE,643.6,34.606935721037196
PRI_SANCTIONED_AMOUNT,574.8,15.54220061638634
STATE_ID,513.9,15.668120499919572
PRI_DISBURSED_AMOUNT,495.3,17.12921480979207
PRI_NO_OF_ACCTS,461.4,18.429324458590447
MANUFACTURER_ID,455.7,15.969032531747187
NO_OF_INQUIRIES,302.3,13.791664149043074
PRI_OVERDUE_ACCTS,268.2,12.383860464330175
EMPLOYMENT_TYPE_0,248.8,11.364858116140297
PRI_ACTIVE_ACCTS,229.7,13.769894698217557
DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,213.7,10.459923517884825
month_OF_DISBURSAL_1,202.3,12.84562182223967
month_OF_DISBURSAL_0,179.6,9.520504188329525
NEW_ACCTS_IN_LAST_SIX_MONTHS,158.2,12.82809416865966
weekday_OF_DISBURSAL_0,131.6,9.676776322722356
weekday_OF_DISBURSAL_1,121.8,10.656453443805777
weekday_OF_BIRTH_0,120.9,8.84816365128946
weekday_OF_BIRTH_1,118.4,11.689311356961968
weekday_OF_BIRTH_5,102.2,6.6000000000000005
VOTERID_FLAG,97.3,10.296115772464876
weekday_OF_DISBURSAL_5,93.4,9.046546302318914
weekday_OF_BIRTH_6,91.2,8.084553172563094
weekday_OF_BIRTH_4,91.0,10.10940156488009
weekday_OF_DISBURSAL_2,87.2,8.1706792863262
weekday_OF_BIRTH_2,83.8,7.6
weekday_OF_DISBURSAL_4,83.1,8.178630692236935
weekday_OF_DISBURSAL_6,76.1,7.4893257373411135
weekday_OF_BIRTH_14,69.6,5.2
weekday_OF_DISBURSAL_7,69.2,8.292164976651152
weekday_OF_BIRTH_8,67.3,5.441507144165117
AADHAR_FLAG,67.1,4.699999999999999
weekday_OF_DISBURSAL_14,65.8,7.345747068882783
month_OF_BIRTH_2,65.4,9.457272334029511
weekday_OF_BIRTH_11,65.0,9.899494936611665
weekday_OF_DISBURSAL_8,64.3,8.933644273195569
weekday_OF_BIRTH_7,61.6,6.887670143089026
month_OF_BIRTH_0,59.8,8.47112743381895
weekday_OF_DISBURSAL_3,58.9,6.2681735776859275
weekday_OF_DISBURSAL_9,57.8,7.386474125047755
month_OF_BIRTH_1,57.3,11.13597772986279
weekday_OF_BIRTH_10,56.5,7.046275611981127
weekday_OF_BIRTH_3,56.4,11.173182178770737
weekday_OF_BIRTH_9,55.9,6.220128616033594
EMPLOYMENT_TYPE_1,55.7,6.261788881781308
weekday_OF_DISBURSAL_10,55.1,3.7802116342871597
PAN_FLAG,53.8,7.138627319029898
month_OF_BIRTH_5,52.7,6.034069936618236
weekday_OF_DISBURSAL_11,52.1,5.048762224545736
weekday_OF_BIRTH_13,50.8,6.029925372672534
month_OF_BIRTH_23,50.2,7.909487973314076
month_OF_BIRTH_14,48.3,6.870953354520753
month_OF_BIRTH_3,46.5,5.296225070746145
month_OF_BIRTH_60,46.0,5.138093031466052
month_OF_BIRTH_31,44.7,5.728001396647874
SEC_CURRENT_BALANCE,44.3,7.849203781276161
month_OF_BIRTH_27,43.8,7.166589146867568
month_OF_BIRTH_143,43.3,9.089004345911603
month_OF_BIRTH_7,43.2,5.844655678480984
weekday_OF_DISBURSAL_13,42.2,8.133879763065101
month_OF_BIRTH_78,42.1,4.657252408878007
month_OF_BIRTH_17,42.0,6.6332495807108
weekday_OF_BIRTH_34,41.9,5.048762224545736
month_OF_BIRTH_66,41.6,7.618398781896364
month_OF_BIRTH_9,40.7,4.360045871318328
month_OF_BIRTH_8,40.4,4.673328578219168
