feature,importance,std
CURRENT_PINCODE_ID,2419.8,51.48747420489764
EMPLOYEE_CODE_ID,2307.7,34.86559909136798
LTV,2190.6,55.62409549826406
SUPPLIER_ID,1915.7,33.313810949814794
DISBURSED_AMOUNT,1890.2,66.88318174249787
ASSET_COST,1874.5,46.62456434112816
yearh_OF_BIRTH,1625.7,29.421250823172013
PERFORM_CNS_SCORE,1461.2,41.525413905221946
BRANCH_ID,1352.2,34.20760149440472
CREDIT_HISTORY_LENGTH,1280.8,30.42301760180932
PRIMARY_INSTAL_AMT,1247.2,34.414531814336804
PRI_CURRENT_BALANCE,1074.7,29.846440323763904
AVERAGE_ACCT_AGE,938.0,27.10719461692781
PRI_SANCTIONED_AMOUNT,865.8,24.18181134654722
PRI_DISBURSED_AMOUNT,732.7,20.62546969162157
PRI_NO_OF_ACCTS,716.8,14.37915157441495
STATE_ID,627.4,16.378034070058593
MANUFACTURER_ID,569.4,14.478950238190613
NO_OF_INQUIRIES,380.4,15.40908822740658
PRI_ACTIVE_ACCTS,330.1,20.5204775772885
PRI_OVERDUE_ACCTS,294.8,15.197368193210297
DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,250.0,13.046072205840346
NEW_ACCTS_IN_LAST_SIX_MONTHS,236.2,14.253420642077467
VOTERID_FLAG,120.3,8.752713864853574
PAN_FLAG,90.3,6.708949247087803
SEC_CURRENT_BALANCE,83.9,11.291146974510605
SEC_SANCTIONED_AMOUNT,73.4,8.99110671719561
AADHAR_FLAG,71.6,8.957678270623477
SEC_INSTAL_AMT,65.0,5.744562646538029
SEC_DISBURSED_AMOUNT,57.8,7.249827584156743
SEC_NO_OF_ACCTS,46.6,7.592101158440923
DRIVING_FLAG,22.9,4.90815647672321
SEC_OVERDUE_ACCTS,20.1,6.949100661236676
PASSPORT_FLAG,11.4,2.4166091947189146
SEC_ACTIVE_ACCTS,11.4,3.8000000000000003
MOBILENO_AVL_FLAG,0.0,0.0
yearh_OF_DISBURSAL,0.0,0.0
