feature,importance,std
CURRENT_PINCODE_ID,2324.7,35.768841188945444
EMPLOYEE_CODE_ID,2073.4,43.982269154740074
LTV,1914.9,38.02223033963158
SUPPLIER_ID,1901.4,35.22839763599814
DISBURSED_AMOUNT,1876.5,37.30750594719513
yearh_OF_BIRTH,1556.0,29.93325909419153
ASSET_COST,1502.4,31.318365219148973
month_OF_BIRTH,1305.3,26.92600973037037
BRANCH_ID,1282.5,43.69496538504179
PERFORM_CNS_SCORE_DESCRIPTION,1176.2,22.085289221561034
PRIMARY_INSTAL_AMT,1089.6,32.444414003029856
CREDIT_HISTORY_LENGTH,1080.6,19.7038067388005
PERFORM_CNS_SCORE,949.6,30.259543948975836
PRI_CURRENT_BALANCE,943.1,41.6063697046498
AVERAGE_ACCT_AGE,835.9,22.611722623453527
PRI_SANCTIONED_AMOUNT,782.8,26.91022110648666
PRI_NO_OF_ACCTS,660.1,22.45194869048119
STATE_ID,651.6,22.07351353998724
PRI_DISBURSED_AMOUNT,600.0,18.20988742414406
MANUFACTURER_ID,539.2,19.208331525668747
weekday_OF_BIRTH,493.3,15.969032531747189
weekday_OF_DISBURSAL,480.2,14.027116596079182
month_OF_DISBURSAL,398.9,14.334922392534953
NO_OF_INQUIRIES,377.0,7.307530362578044
EMPLOYMENT_TYPE,315.4,19.673332203772702
PRI_ACTIVE_ACCTS,286.9,14.956269588369956
PRI_OVERDUE_ACCTS,270.2,13.249905660041508
DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,224.0,18.281137820168635
NEW_ACCTS_IN_LAST_SIX_MONTHS,205.1,14.07444492688788
VOTERID_FLAG,119.9,12.045331045679069
AADHAR_FLAG,79.6,5.782732917920385
SEC_CURRENT_BALANCE,68.0,9.726253132630262
PAN_FLAG,66.9,8.080222769206305
SEC_SANCTIONED_AMOUNT,54.8,8.207313811473277
SEC_INSTAL_AMT,49.0,5.531726674375733
SEC_NO_OF_ACCTS,37.9,6.876772498781677
SEC_DISBURSED_AMOUNT,32.8,4.853864439804639
SEC_OVERDUE_ACCTS,15.5,3.7483329627982624
DRIVING_FLAG,14.1,3.2078029864690882
SEC_ACTIVE_ACCTS,12.4,3.903844259188627
PASSPORT_FLAG,6.7,3.0675723300355937
MOBILENO_AVL_FLAG,0.0,0.0
yearh_OF_DISBURSAL,0.0,0.0
